datetime,Haifa_broken clouds,Haifa_drizzle,Haifa_dust,Haifa_few clouds,Haifa_fog,Haifa_haze,Haifa_heavy intensity rain,Haifa_heavy intensity shower rain,Haifa_light rain,Haifa_mist,Haifa_moderate rain,Haifa_overcast clouds,Haifa_proximity thunderstorm,Haifa_scattered clouds,Haifa_shower rain,Haifa_sky is clear,Haifa_thunderstorm,Haifa_thunderstorm with heavy rain,Haifa_thunderstorm with light rain,Haifa_thunderstorm with rain,Haifa_nan,humidity,wind_direction,temperature,pressure,wind_speed
2016-11-20,0.03253568780511166,0.0,0.0,0.021989640410505083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021461991264726726,0.0,0.2613874488382307,0.0,0.0,0.0,0.0,0.0,0.1347124089941093,0.09141328221643813,0.17248839274231467,0.1493748928218912,0.11463625490667252
2016-11-21,0.052460640098601415,0.0,0.0,0.05866991177211289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22512486306413568,0.0,0.0,0.0,0.0,0.0,0.11273548285780192,0.0967205225071226,0.1639904133113186,0.16130219796596265,0.1289959684229443
2016-11-22,0.03010695832138997,0.0,0.0,0.02066339724190457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030451282180244784,0.0,0.0,0.0,0.25435315056360847,0.0,0.0,0.0,0.0,0.0,0.1023455927172609,0.09517687692632627,0.15328163041083287,0.16895574563999996,0.1446653659984322
2016-11-23,0.0,0.0,0.0,0.009833051186770369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05031719383494105,0.0,0.0,0.0,0.27222829341453875,0.0,0.0,0.0,0.0,0.0,0.1042666193243698,0.09658188271012558,0.13898251976951295,0.17950784147186102,0.14828259828788048
2016-11-24,0.0,0.0,0.0,0.019666102373540738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2938741418226133,0.0,0.0,0.0,0.0,0.0,0.12667173258235567,0.08862834032846541,0.12707807800481924,0.18793718747436494,0.15614441741384077
2016-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3444072962551928,0.0,0.0,0.0,0.0,0.0,0.10971258294778059,0.09703110775823859,0.12933430938211643,0.19342168925954942,0.12609301439712214
2016-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3793429528085777,0.0,0.0,0.0,0.0,0.0,0.10088144374185952,0.0947844565041155,0.13800682839345993,0.19710191140067548,0.0898824071513118
2016-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3497484611131117,0.0,0.0,0.0,0.0,0.0,0.1151321080186628,0.10545636231232451,0.13875757286305518,0.188693359554208,0.10221213613863783
2016-11-28,0.010735905080824485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3160102214777035,0.0,0.0,0.0,0.0,0.0,0.15749215394594965,0.10323247025379972,0.14201238083810172,0.16224020571507877,0.10827666268854215
2016-11-29,0.02147181016164897,0.0,0.0,0.022005856494902647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03218449612388597,0.0,0.011120273382487368,0.0,0.24620779443452256,0.0,0.0,0.0,0.0,0.0,0.16289390984550345,0.11593221303170642,0.14720399197817133,0.1466126631741165,0.09436699137305475
