datetime,Chicago_broken clouds,Chicago_drizzle,Chicago_dust,Chicago_few clouds,Chicago_fog,Chicago_freezing rain,Chicago_haze,Chicago_heavy intensity drizzle,Chicago_heavy intensity rain,Chicago_heavy snow,Chicago_light intensity drizzle,Chicago_light rain,Chicago_light rain and snow,Chicago_light snow,Chicago_mist,Chicago_moderate rain,Chicago_overcast clouds,Chicago_proximity shower rain,Chicago_proximity thunderstorm,Chicago_proximity thunderstorm with drizzle,Chicago_proximity thunderstorm with rain,Chicago_scattered clouds,Chicago_sky is clear,Chicago_smoke,Chicago_snow,Chicago_squalls,Chicago_thunderstorm,Chicago_thunderstorm with drizzle,Chicago_thunderstorm with heavy rain,Chicago_thunderstorm with light drizzle,Chicago_thunderstorm with light rain,Chicago_thunderstorm with rain,Chicago_very heavy rain,Chicago_nan,humidity,wind_direction,temperature,pressure,wind_speed
2013-08-10,0.07003479094684456,0.0,0.0,0.025275054786988656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011518544324640988,0.08801211938189284,0.0,0.0,0.0,0.0,0.023961164648132482,0.06306126372061276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18967745506565323,0.09136430300285064,0.218988536262092,0.1935664160294633,0.024540351830828564
2013-08-11,0.1149210478873454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009910800769923624,0.0,0.0,0.0,0.009993983131704636,0.0,0.0,0.0,0.0,0.0,0.03182352367571326,0.10130597190963338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17167120220968057,0.13987310501278175,0.21452185980293056,0.18740291426164798,0.018575591338638803
2013-08-12,0.0,0.0,0.0,0.03323266631403771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122619469489271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23013126293851072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1791290457435901,0.12707703489211933,0.21031149438147803,0.19406542839076768,0.013791120390569366
2013-08-13,0.0,0.0,0.0,0.06309772228909656,0.0,0.0,0.0,0.0,0.010882241607567587,0.0,0.0,0.05387326380723062,0.0,0.0,0.012384646315817522,0.0,0.031528005864146225,0.0,0.0,0.0,0.0,0.08430270972311944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1979539430856638,0.1484872682513471,0.20360287820209164,0.17483831280915185,0.01904900804476769
2013-08-14,0.01229739613776755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012436249662948417,0.0,0.0,0.0335031346801186,0.0,0.0,0.0,0.0,0.0,0.0,0.011430205728620321,0.21836226468345898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21064183043590787,0.05688713719684852,0.2108338606799419,0.20046239444809585,0.03314552634629198
2013-08-15,0.10826345810016313,0.0,0.0,0.012385188414811274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012906840198678675,0.0,0.0,0.0,0.0,0.0,0.05751184344783284,0.08524767332224582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01269376020593752,0.0,0.21946173675763506,0.053382551902567306,0.2036707177704233,0.20424588215530357,0.030230347724401474
2013-08-16,0.010608761067772886,0.0,0.0,0.033306091936001175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03263377304269279,0.1929536837096216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21666382666466236,0.12403407409352774,0.18773795692373327,0.18555024822860497,0.01651158433338319
2013-08-17,0.02121752213554577,0.0,0.0,0.01047507091721655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010803768668120243,0.0,0.0,0.0,0.0,0.0,0.0,0.032237952060822646,0.19271760732977752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20834200806460365,0.1298476108634991,0.195846599280624,0.18298773967459617,0.015524121005194305
2013-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011726826067760572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2821169590715669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19171172383718948,0.06146949222362449,0.21976295825277317,0.211298252286384,0.02191378826070135
2013-08-19,0.0,0.0,0.0,0.0,0.023841061380802542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02378093915380483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2440647193967351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1959083454765376,0.06620740870327858,0.22245004685749425,0.20909701901822342,0.014650460013123623
