datetime,Seattle_broken clouds,Seattle_drizzle,Seattle_few clouds,Seattle_fog,Seattle_haze,Seattle_heavy intensity drizzle,Seattle_heavy intensity rain,Seattle_heavy intensity shower rain,Seattle_heavy snow,Seattle_light intensity drizzle,Seattle_light intensity shower rain,Seattle_light rain,Seattle_light shower snow,Seattle_light snow,Seattle_mist,Seattle_moderate rain,Seattle_overcast clouds,Seattle_proximity thunderstorm,Seattle_scattered clouds,Seattle_shower rain,Seattle_sky is clear,Seattle_smoke,Seattle_snow,Seattle_squalls,Seattle_thunderstorm,Seattle_thunderstorm with heavy rain,Seattle_thunderstorm with light rain,Seattle_thunderstorm with rain,Seattle_very heavy rain,Seattle_nan,humidity,wind_direction,temperature,pressure,wind_speed
2015-04-08,0.039295022749312895,0.0,0.045914197664306544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03557169167304741,0.0,0.0,0.0,0.0,0.0,0.0,0.14988871702852058,0.0,0.011906147502640423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22212538867297615,0.1914187514076713,0.11972438630742438,0.17427855969381564,0.009877137300284672
2015-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799298817399214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23559524722891909,0.1711250044246706,0.1154756041264896,0.18909688496654495,0.008777377513454402
2015-04-10,0.06148340322305668,0.0,0.03678062088328168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04893298085879142,0.0,0.0,0.0,0.0,0.0,0.0,0.04874809432866597,0.0,0.10275650497018392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22034725701292482,0.15081506421899205,0.12994288047600835,0.17908190400263846,0.02111129002545667
2015-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03536885784116661,0.0,0.0,0.0,0.23822170683225255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24451007237796005,0.16627897401086905,0.10983605945084152,0.15398547349050412,0.051798855996406094
2015-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24255049951570154,0.0,0.0,0.0,0.03438956441405107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21087497247315282,0.16997484576949543,0.11122634256828734,0.18969307982776096,0.04129069543155082
2015-04-13,0.05021878711360762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08505078880256713,0.0,0.0,0.0,0.03525423740140735,0.1295757834517203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22168259100950313,0.15180693212087518,0.12401460184859847,0.1829394093228933,0.01945686892882755
2015-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389291279342316,0.0,0.0,0.0,0.2369227603566609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25760701097734956,0.17275695892720258,0.09702318712027751,0.18068489331019166,0.02111227651489465
2015-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2861757261814271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2325478157435236,0.12342168805681038,0.1090674488291868,0.23548848271002273,0.013298838479029433
2015-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056587298881308264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2747342090877331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23143306492092816,0.01296225594118621,0.13523799757756083,0.26607053915510576,0.022974634436177647
2015-04-17,0.0,0.0,0.04790206144942446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25609356771170827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1933074812676869,0.12276401950272299,0.14376209134838944,0.2192896392086842,0.01688113951138377
2015-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312942739392731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1969658358801674,0.07721470831833067,0.1549745092682393,0.23520166950992863,0.022700537630602965
2015-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334082478525121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192313470303754,0.04459511952513067,0.16646774643234424,0.23585480077924484,0.02668638443440516
2015-04-20,0.0,0.0,0.04193768498466525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2676029605571494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16982867260208775,0.15680770744971828,0.16031056180245926,0.1872865881908459,0.01622582441307423
2015-04-21,0.0,0.0,0.012374254664744991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024542108577275082,0.0,0.26500173921290343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16899145899600954,0.18401824775316147,0.1573560890761055,0.16895477330857767,0.018761328411222387
