datetime,Indianapolis_broken clouds,Indianapolis_drizzle,Indianapolis_few clouds,Indianapolis_fog,Indianapolis_freezing rain,Indianapolis_haze,Indianapolis_heavy intensity drizzle,Indianapolis_heavy intensity rain,Indianapolis_heavy snow,Indianapolis_light intensity drizzle,Indianapolis_light intensity shower rain,Indianapolis_light rain,Indianapolis_light snow,Indianapolis_mist,Indianapolis_moderate rain,Indianapolis_overcast clouds,Indianapolis_proximity thunderstorm,Indianapolis_proximity thunderstorm with rain,Indianapolis_scattered clouds,Indianapolis_sky is clear,Indianapolis_snow,Indianapolis_squalls,Indianapolis_thunderstorm,Indianapolis_thunderstorm with heavy rain,Indianapolis_thunderstorm with light drizzle,Indianapolis_thunderstorm with light rain,Indianapolis_thunderstorm with rain,Indianapolis_very heavy rain,Indianapolis_nan,humidity,wind_direction,temperature,pressure,wind_speed
2013-08-19,0.0,0.0,0.06375529908669442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04808889350169728,0.0,0.02747721207083063,0.0,0.0,0.03938818466899237,0.12893020846838063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16991625715892056,0.06940081035677588,0.23333341024039492,0.19828227672163148,0.02142744772568184
2013-08-20,0.033581505706978106,0.0,0.03702445378328317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06690103936359415,0.0,0.0,0.0,0.0,0.0,0.14917181246809988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1772909224083836,0.11671290860402601,0.21960321407114414,0.18377212616040373,0.015942017434087276
2013-08-21,0.0,0.0,0.048346139868621664,0.0,0.0,0.011253294894150773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08091692004437777,0.0,0.0,0.0,0.0,0.0,0.143809289741148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17163248749424545,0.12381302428295043,0.2216422433197963,0.18347820655991953,0.015108393794790129
2013-08-22,0.0,0.0,0.011400615872463833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06717713404921082,0.0,0.0,0.011248737181830185,0.0,0.03388341570906783,0.14847197380240787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17720765121825952,0.14101307970225477,0.21637423218069307,0.17437208344706678,0.0188510768367454
2013-08-23,0.0,0.0,0.03880250696564841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010659310470509713,0.0,0.0,0.0,0.0,0.07840870118444675,0.13904963903921644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179200863490679,0.14137531666885947,0.2128355563639428,0.17004551495926423,0.02962259085743312
2013-08-24,0.011752360022440017,0.0,0.0258584311051455,0.012395527980750533,0.0,0.026171311658143386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05107611749926605,0.0,0.012496172456179374,0.0,0.0,0.08363391177590145,0.07508316696613779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1979193098344321,0.05330274603871313,0.22966680844645085,0.19591086936977872,0.02473326684666115
2013-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30297170612141994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14299781123388597,0.09736062647889436,0.2332946277344983,0.19894958898277912,0.024425639448522326
2013-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29019637398407405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14880783988026944,0.12290372518983243,0.22444043927651644,0.19359831561558907,0.020053306053718575
2013-08-27,0.011036821931787977,0.0,0.010886430086717929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04399088562477425,0.19394488072487157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14478357388559734,0.16878111480930558,0.21249941878322687,0.17508063063619647,0.03899624351752204
2013-08-28,0.032339738576430764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03190545813847916,0.0,0.0,0.0,0.0,0.04286203989884662,0.14723881823408502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14380190738358092,0.17635203707896974,0.2120208863143763,0.16521472003032345,0.048264394344908056
2013-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13363510916155827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12482813773331364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15838662461737393,0.14650911693742275,0.2168500604634703,0.16765369453802667,0.052137256548834436
2013-08-30,0.012048065352677785,0.0,0.0,0.022928389238388008,0.0,0.037084671395333495,0.0,0.0,0.0,0.0,0.0,0.03309048205265598,0.0,0.08297295698554964,0.0,0.0,0.0,0.0,0.0,0.10272333074848232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17419953147957198,0.07823015211263339,0.24307711181550826,0.18498148552255755,0.028663823296641647
2013-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1949575746286576,0.0,0.0,0.0,0.0,0.07519227985979325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17329914619325126,0.13821644514422818,0.2242167585085759,0.1742709106240324,0.01984688504146147
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21656455656149118,0.0,0.0,0.0,0.0,0.0,0.0,0.032485216630591486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21255051058508515,0.15014400218480675,0.19590996549555573,0.1611285310257489,0.03121721751672089
2013-09-02,0.010124339369379834,0.0,0.03181169427434646,0.01048080750862209,0.0,0.0,0.0,0.031156896650367968,0.0,0.0,0.0,0.0,0.0,0.09838105554242649,0.010501007564795216,0.0,0.0,0.0,0.030660925696462334,0.021510496177611988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172979775675984,0.2039540269243361,0.1930014665440464,0.15197447344957185,0.0334630346220493
2013-09-03,0.0,0.0,0.022192897147722476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011001747187799905,0.2533902749899925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1802127016212841,0.1076136272503659,0.2035464555147589,0.19238905727110064,0.029653239016975603
2013-09-04,0.03312761626942572,0.0,0.04132075732509793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030891805113176036,0.15304264504535714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153730753254013,0.21228574747435416,0.18687206985897384,0.1731427232184978,0.015585882441104417
2013-09-05,0.012804677114154492,0.0,0.042799093848019366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08172939738231694,0.1413140514346614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18228558472250933,0.13467345778159565,0.20832755181109017,0.17901440578941616,0.017051780116236547
2013-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31030064073742875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13486515689510237,0.08837830907851657,0.23047136686914924,0.20439321308926792,0.03159131333053517
2013-09-07,0.0,0.0,0.06885931831641627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034142387780054184,0.17762759437695083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17154847214952362,0.13584940802866616,0.20660744198581538,0.18164728019526832,0.023718097167305288
2013-09-08,0.21494983741130266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011067480365661202,0.0,0.0,0.0,0.037624914130496734,0.0,0.0,0.010692383355656185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1686930453981,0.1509347903486051,0.2183985129988972,0.16792963696024665,0.019709399031034348
2013-09-09,0.023918517514195534,0.0,0.11588479222408739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04462804173028123,0.0,0.0,0.0,0.0,0.036207963729075913,0.05718665505531422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1838737822228235,0.11725209321764113,0.22219400372402875,0.17242477380834234,0.026429376774210003
2013-09-10,0.0,0.0,0.021886090517951495,0.0,0.0,0.020969116974049393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010305445494186728,0.0,0.0,0.0,0.0,0.0,0.20556719366595785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15494799832187015,0.17057169410018466,0.21973992897085934,0.16384889380067394,0.03216363815426649
2013-09-11,0.0,0.0,0.07663169817367195,0.0,0.0,0.010413969153314915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010960641189083726,0.16202130811012166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15107114444612685,0.16396660753447992,0.21543800890131648,0.1667530032917834,0.04274361920010106
2013-09-12,0.020560854924484992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07979321809913126,0.0,0.0,0.073593205456017,0.0,0.0,0.0,0.020723570427922233,0.056710156116097386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17236601813497573,0.18500339588606682,0.19320484737577093,0.16239904307692457,0.03564569050260903
2013-09-13,0.010801772175426364,0.0,0.034155488950699746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030729718362458216,0.03562364356547606,0.0,0.0,0.025081284739496095,0.13753943995294135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1442751677226517,0.17257003203155255,0.18409860230817107,0.17608628952097535,0.0490385606701515
