datetime,Atlanta_broken clouds,Atlanta_drizzle,Atlanta_few clouds,Atlanta_fog,Atlanta_haze,Atlanta_heavy intensity drizzle,Atlanta_heavy intensity rain,Atlanta_heavy snow,Atlanta_light intensity drizzle,Atlanta_light intensity shower rain,Atlanta_light rain,Atlanta_light shower snow,Atlanta_light snow,Atlanta_mist,Atlanta_moderate rain,Atlanta_overcast clouds,Atlanta_proximity thunderstorm,Atlanta_proximity thunderstorm with rain,Atlanta_scattered clouds,Atlanta_sky is clear,Atlanta_smoke,Atlanta_snow,Atlanta_squalls,Atlanta_thunderstorm,Atlanta_thunderstorm with drizzle,Atlanta_thunderstorm with heavy rain,Atlanta_thunderstorm with light drizzle,Atlanta_thunderstorm with light rain,Atlanta_thunderstorm with rain,Atlanta_very heavy rain,Atlanta_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04191633790245624,0.0,0.0,0.0,0.0,0.0,0.30056812111310455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2309529706111625,0.0254875805484141,0.20334837167099862,0.1928674450231058,0.004859173130758153
2012-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05625383187405244,0.0,0.014225612227329293,0.0,0.0,0.028154369254545397,0.0,0.0,0.0,0.0,0.0,0.24060521183707517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2416867755496052,0.022997665719442412,0.2020314342994299,0.18860892721956582,0.005436172018954365
2012-10-26,0.04084926610567819,0.0,0.01564574056496682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014450402470237768,0.2665401322855348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24552375250672956,0.020204422615832694,0.20799333654144922,0.17872106082968522,0.010071886079885612
2012-10-27,0.013429230726627503,0.0,0.04181251360765675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014094109399146166,0.0,0.0,0.04183465041507727,0.22303472663519772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24074670770360052,0.025270246665028032,0.21781922101263673,0.16574649874292208,0.016212095092107234
2012-10-28,0.02874262736399973,0.0,0.0438178745199421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025399221592681608,0.0,0.039904195170787686,0.0,0.0,0.014815423514627406,0.15756651420921566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23808050140523854,0.10753157760042725,0.18079476892863797,0.13443052636377092,0.02891676933067112
2012-10-29,0.01172185958782483,0.0,0.011467759482798122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030701104479178513,0.0,0.0,0.0,0.0,0.14512067437952667,0.0,0.0,0.07056590193331701,0.011200336598654674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20967464772700176,0.21208180802868962,0.1341589091693342,0.11234032098945358,0.050966677624221024
2012-10-30,0.04738128686257276,0.0,0.02432228445817458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06622142823736198,0.0,0.0,0.03434488995014475,0.10824630823835486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1408009756443763,0.2527235239592056,0.123457034401552,0.11949254859369739,0.09474313429159119
2012-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3091194953431462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11133058330501779,0.25107793117530414,0.13188451829534417,0.11317488333713928,0.08341258854404843
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32039304725059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1212783017846411,0.23141850010863715,0.14188296087629781,0.13417752953031556,0.05084966044951847
2012-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34130154855902606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13504883348839575,0.1884680045147439,0.1504512286847877,0.1553665693282437,0.034990850153486096
