datetime,Detroit_broken clouds,Detroit_drizzle,Detroit_few clouds,Detroit_fog,Detroit_freezing rain,Detroit_haze,Detroit_heavy intensity drizzle,Detroit_heavy intensity rain,Detroit_heavy shower snow,Detroit_heavy snow,Detroit_light intensity drizzle,Detroit_light intensity drizzle rain,Detroit_light intensity shower rain,Detroit_light rain,Detroit_light shower sleet,Detroit_light shower snow,Detroit_light snow,Detroit_mist,Detroit_moderate rain,Detroit_overcast clouds,Detroit_proximity shower rain,Detroit_proximity thunderstorm,Detroit_scattered clouds,Detroit_shower rain,Detroit_shower snow,Detroit_sky is clear,Detroit_smoke,Detroit_snow,Detroit_squalls,Detroit_thunderstorm,Detroit_thunderstorm with heavy rain,Detroit_thunderstorm with light rain,Detroit_thunderstorm with rain,Detroit_very heavy rain,Detroit_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-21,0.11937088113576948,0.01251475167022925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07263199808070893,0.0,0.0,0.0,0.011949539935280024,0.0,0.07149132094078135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2413283588494163,0.18222625501755352,0.17267253413490966,0.07640944223677777,0.03940491799857374
2012-10-22,0.024035285648928487,0.0,0.011629110700268673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03716117542693298,0.0,0.0,0.0,0.0,0.048068326086833014,0.0,0.0,0.1670448010857828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19184022125957287,0.1875566359160025,0.1785636205193747,0.11898417297927982,0.035116650377024196
2012-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07251268225682612,0.0,0.013114349611368864,0.0,0.0,0.041292149911865965,0.0,0.0,0.20779923757252605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2212138138646038,0.059984267468022386,0.21704686087816952,0.15664679441381932,0.01038984402279798
2012-10-24,0.02630855377441445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050591671998350414,0.0,0.0,0.0,0.03623389600933207,0.0,0.16995226340251537,0.0,0.0,0.013025253500016798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22983294021946932,0.11639989313057013,0.21417658623350602,0.1234257906996255,0.02005315103219988
2012-10-25,0.03748827927312825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03625355642729168,0.0,0.0,0.0,0.03904544752900104,0.011337139970644857,0.02259916783413915,0.0,0.0,0.013914546951664594,0.0,0.0,0.13804587840180674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21704818231125245,0.10615686859047842,0.2234112533950943,0.13077585854589333,0.023923820769605253
2012-10-26,0.014166495025859425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2917472935350111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18683626101002304,0.10545529958346579,0.22887860468077456,0.12711216668934497,0.04580387947552106
2012-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010628502851435725,0.020911959860403395,0.0,0.0,0.0,0.0,0.0,0.08486303141219237,0.0,0.0,0.06990403997186301,0.0,0.0,0.08412958074268863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1559952946352666,0.20810548685187072,0.18135883828239782,0.12186999638598119,0.06223326900590054
2012-10-28,0.09356405325507622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051649783543007456,0.0,0.0,0.05232910335327547,0.0,0.0,0.11479647285921424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1588336291909684,0.12188711928985328,0.18699889377004228,0.16202920228846324,0.07114787821601341
2012-10-29,0.02443957464036837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1188377173940462,0.0,0.0,0.08582277582306026,0.0,0.0,0.07362969759601214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14592531334958725,0.15731500517380836,0.17161999375212253,0.15472225934563208,0.09200854848362738
2012-10-30,0.00996182795552608,0.010191124045540031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031196283418677934,0.0,0.0,0.13765709139910276,0.0,0.0,0.0,0.0,0.0,0.08202340532278318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16081869687539446,0.20648997904554325,0.14910690507805865,0.11937259876446099,0.11328442520433694
