datetime,Houston_broken clouds,Houston_drizzle,Houston_dust,Houston_few clouds,Houston_fog,Houston_haze,Houston_heavy intensity drizzle,Houston_heavy intensity rain,Houston_heavy intensity shower rain,Houston_light intensity drizzle,Houston_light rain,Houston_light snow,Houston_mist,Houston_moderate rain,Houston_overcast clouds,Houston_proximity moderate rain,Houston_proximity shower rain,Houston_proximity thunderstorm,Houston_proximity thunderstorm with rain,Houston_sand,Houston_scattered clouds,Houston_shower rain,Houston_sky is clear,Houston_smoke,Houston_squalls,Houston_thunderstorm,Houston_thunderstorm with drizzle,Houston_thunderstorm with heavy rain,Houston_thunderstorm with light drizzle,Houston_thunderstorm with light rain,Houston_thunderstorm with rain,Houston_very heavy rain,Houston_volcanic ash,Houston_nan,humidity,wind_direction,temperature,pressure,wind_speed
2013-06-14,0.0714865755874843,0.0,0.0,0.010929415220717914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03497572941470972,0.0,0.034632209955626596,0.0,0.0,0.0,0.0,0.0,0.011322929561019907,0.0,0.11723630264010372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18329972908938272,0.16047555129031846,0.21376648930769881,0.12873398055611374,0.033141087376824065
2013-06-15,0.034416390003847865,0.0,0.0,0.04370534256483227,0.03310610640137798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011157604663833878,0.0,0.08968779779483248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07073649638027692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17573744341568243,0.16943245563738396,0.2194214124655525,0.1212371368432586,0.03136181382912107
2013-06-16,0.04935603615154677,0.0,0.0,0.0,0.0,0.0133764358377551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18588815476776396,0.0,0.0,0.0,0.0,0.0,0.038868650303841616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17269673616393724,0.16659594426544466,0.22342816517204478,0.12284434586700115,0.02694553147066465
2013-06-17,0.05694890781317619,0.0,0.0,0.06992596786063268,0.0,0.0362124372100781,0.0,0.0,0.0,0.0,0.048963518858580246,0.0,0.045062587532793776,0.0,0.011578728935892268,0.0,0.0,0.0,0.0,0.0,0.0118086178464442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16855501784729898,0.17882329806298516,0.2164886281975151,0.12361653342967031,0.032015756404932975
2013-06-18,0.01107287269947213,0.0,0.0,0.05631330055645265,0.0,0.0,0.0,0.0,0.0,0.0,0.023510323198134814,0.0,0.04572333020320741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011481331407793461,0.0,0.1262350170904107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16784624287467284,0.16999105580755072,0.213344947627596,0.1198125634643782,0.05466901507033104
2013-06-19,0.10267420587362193,0.0,0.0,0.011404959651783994,0.01102135044887363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011387954431794382,0.03540540734102207,0.0,0.0,0.0,0.0,0.0,0.0,0.023418456381155122,0.0,0.07865800765475527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17352995211521663,0.16854942840363932,0.20703984850726512,0.12071243121271856,0.056197997978153925
2013-06-20,0.035619089842997054,0.0,0.0,0.013161696998426238,0.0,0.0,0.0,0.0,0.0,0.0,0.05382880525873154,0.0,0.01015595826943109,0.02332298209003879,0.0,0.0,0.0,0.0,0.0,0.0,0.012884725218374313,0.0,0.1180473521633338,0.0,0.0,0.011976043330363348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18745389339095123,0.15505538082173523,0.20671396997361627,0.135658834884656,0.03612126775734505
2013-06-21,0.0,0.0,0.0,0.04587468140442552,0.0,0.0,0.0,0.0,0.0,0.0,0.011277782439312779,0.0,0.0,0.08126920039355366,0.0,0.0,0.0,0.011805711343158274,0.0,0.0,0.0,0.0,0.12359033718004446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18036813528381737,0.1391205509412691,0.20661275757347952,0.16129795075334227,0.038782892687597006
2013-06-22,0.0,0.0,0.0,0.03458492846434769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048369258549295774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1967160974070354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17533264585424793,0.1389841945258137,0.2150394088002,0.14866346505773642,0.04231000134132303
2013-06-23,0.0,0.0,0.0,0.023544593792150847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024626427141631133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011636301629384872,0.0,0.22160058156301718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16478900695340132,0.1516422076853758,0.21611799929659492,0.14024753079001048,0.04579535114843338
2013-06-24,0.023908935738257985,0.0,0.0,0.02258578379637727,0.0,0.0,0.0,0.0,0.0,0.0,0.010871503067524019,0.0,0.012437675176566694,0.0,0.02457963039818861,0.0,0.0,0.0,0.0,0.0,0.04679812625148663,0.0,0.13890641652322547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16928347454861217,0.1645598446499133,0.2128547702382517,0.1268971656901964,0.04631667392139976
2013-06-25,0.01209017047071795,0.0,0.0,0.011861955619124918,0.0,0.05915788778504971,0.0,0.0,0.0,0.0,0.023509076698833953,0.0,0.02407680307913106,0.01198257628971202,0.0,0.0,0.0,0.0,0.0,0.0,0.09225256567129105,0.0,0.04441704659826776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15828237340429838,0.16998039238981044,0.21449730470086004,0.12801281298753067,0.049879034305372
2013-06-26,0.058520108182762015,0.0,0.0,0.0,0.0,0.011167116757275901,0.0,0.0,0.0,0.0,0.0796415513606243,0.0,0.03474526698711306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01170669533052953,0.0,0.0783907645393644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1634593561219556,0.1664405760750568,0.2133848477154745,0.12519378585164867,0.05734993107819516
2013-06-27,0.034773442108996015,0.0,0.0,0.023285581631433985,0.0,0.0,0.0,0.0,0.0,0.0,0.02197671383686949,0.0,0.0,0.0,0.011652164399043723,0.0,0.0,0.0,0.0,0.0,0.034440778036777545,0.0,0.14878108112334643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15920637235095392,0.17317483666191189,0.2171629289354385,0.12174616128904313,0.053799939626185365
2013-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011238944294813242,0.0,0.05821290114681541,0.0,0.012425046063901378,0.0,0.0,0.0,0.0,0.0,0.0378759996194851,0.0,0.16800560845774226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671215810462375,0.15205426055643975,0.22481440037321151,0.12536157918335747,0.04288967925799638
2013-06-29,0.0,0.0,0.0,0.012349493808875206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011098714800120936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25667790639901666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16382751613537858,0.1759113651964966,0.22183723360884533,0.11708544506037806,0.04121232499088861
2013-06-30,0.0,0.0,0.0,0.012394054814659208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033946724435972596,0.0,0.2399452475359265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13241869507076176,0.1892592762387982,0.2375605483344159,0.10464680718062497,0.04982864638884087
2013-07-01,0.05897812058604707,0.0,0.0,0.011829074425010579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026466719014137663,0.0,0.23228059297400652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10700843684948384,0.10578069300401406,0.2716143500613304,0.12368504555933181,0.062356967526638045
2013-07-02,0.05920163001528941,0.0,0.0,0.062105070579373284,0.014523856483396214,0.0,0.0,0.0,0.0,0.0,0.012713378374317533,0.0,0.039702493461840294,0.0,0.010636698617622614,0.0,0.0,0.0,0.0,0.0,0.022743307691882653,0.0,0.05840245597100615,0.0,0.0,0.0,0.0,0.0,0.0,0.011399419104321214,0.0,0.0,0.0,0.0,0.14453591364574583,0.16701249366082785,0.210036863349922,0.1291257549424101,0.0578606641020448
2013-07-03,0.07102586860553194,0.0,0.0,0.03963305724174274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055511788163085406,0.0,0.0,0.0,0.0,0.0,0.030156334002511147,0.0,0.10266638337988791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1526707806536987,0.12486185359903645,0.2215035433685432,0.1449217009531028,0.05704869003285968
2013-07-04,0.03649774805337261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03792711588279863,0.0,0.0,0.013101530321447521,0.0,0.0,0.03698511140441539,0.0,0.18368522578170254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14638867436509848,0.11456611383659047,0.2296829640459417,0.14806155161810466,0.05310396469052798
2013-07-05,0.0710281111722695,0.0,0.0,0.012550993616912703,0.0,0.0,0.0,0.0,0.0,0.0,0.011279698810672497,0.0,0.014065623255451715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21781900957326647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15485340427904185,0.08674154926523708,0.2424650693113443,0.14492193613281965,0.04427460458298421
2013-07-06,0.027877510864837918,0.0,0.0,0.012102821490121101,0.0,0.047849907856816164,0.0,0.01305825819871208,0.0,0.0,0.05416738508577542,0.0,0.06430204367009985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06779137955407631,0.0,0.0,0.013344501177812886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1722828924734445,0.13145000550866245,0.22485144199381094,0.1307014411946162,0.04022041093121414
