datetime,Nashville_broken clouds,Nashville_few clouds,Nashville_fog,Nashville_freezing rain,Nashville_haze,Nashville_heavy intensity rain,Nashville_heavy snow,Nashville_light intensity drizzle,Nashville_light rain,Nashville_light shower snow,Nashville_light snow,Nashville_mist,Nashville_moderate rain,Nashville_overcast clouds,Nashville_proximity thunderstorm,Nashville_proximity thunderstorm with rain,Nashville_scattered clouds,Nashville_shower snow,Nashville_sky is clear,Nashville_smoke,Nashville_snow,Nashville_squalls,Nashville_thunderstorm,Nashville_thunderstorm with heavy rain,Nashville_thunderstorm with light rain,Nashville_thunderstorm with rain,Nashville_very heavy rain,Nashville_nan,humidity,wind_direction,temperature,pressure,wind_speed
2013-12-14,0.012815899074390498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012118311945365987,0.0,0.0,0.0723069096016896,0.0,0.06982538778044826,0.0,0.0,0.0,0.0,0.13651868157111754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20405604775210184,0.1874407866046636,0.16916411558920494,0.08848684628775734,0.04726701379326045
2013-12-15,0.010812151645783703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08929442049341306,0.0,0.0,0.03665368958108287,0.0,0.16382241788534105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15788851005536575,0.22593505483773169,0.16347351962564874,0.09620073781164963,0.055919498063983525
2013-12-16,0.0,0.013455986225001167,0.0,0.0,0.0,0.0,0.0,0.0,0.01567260148316599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01516215795123616,0.0,0.2938874352205815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14549927829783002,0.17242269598222723,0.1870153849685111,0.12122487273613697,0.035659587135309895
2013-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3731881433246514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14365774192371109,0.12493277804940166,0.1719085683125018,0.16492820315110931,0.02138456523862475
2013-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3382300401880411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14681112443387714,0.19106278561851398,0.12268833756201662,0.17672656055989014,0.02448115163766108
2013-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3390802690016179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12432943196725992,0.1841407234126982,0.18234697372406158,0.14007241718725097,0.030030184707111492
2013-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014586494309949549,0.0,0.0,0.0,0.016365244354811372,0.0,0.0,0.0,0.0,0.0,0.3263326034572664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13100425877807667,0.15194452808822545,0.2089664925124722,0.1393217894201387,0.011478589079059756
2013-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09997752096868272,0.0,0.0,0.011260437625726934,0.02753125079694231,0.0,0.0,0.0,0.0,0.0,0.21209166546878752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13352851041986616,0.15607801070835906,0.23265860060705687,0.10901712576507529,0.017856877639503235
2013-12-22,0.0,0.0,0.0,0.0,0.0,0.012749041380304485,0.0,0.0,0.09746961509684597,0.0,0.0,0.04881915938423814,0.041899755045374076,0.0,0.0,0.0,0.0,0.0,0.14222550717413443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14007377751971048,0.17356300775664366,0.21541082995309094,0.10493344490339068,0.02285586178626721
2013-12-23,0.0,0.0,0.0,0.0,0.015249501570220654,0.0,0.0,0.0,0.09356205125569954,0.0,0.0,0.04338402869282452,0.0,0.0,0.0,0.0,0.0,0.0,0.20757291538665737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13534440141476453,0.16350448525464387,0.14899840541710244,0.1766380835700649,0.01574612743802223
2013-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3511121164529283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13192750164005274,0.18677230387432922,0.09978344196839889,0.211076241509393,0.01932839455489788
2013-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338475370424343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13855571174709416,0.206219136216515,0.09394371659821939,0.19309530963255814,0.02971075538127033
2013-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355388522331811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14400663553734364,0.15396640907846273,0.1284090757349052,0.19365723629097162,0.024572121026505796
2013-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32743764616951093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16001514791598984,0.1825499428810118,0.11240478843977912,0.18994297319636044,0.027649501397347787
2013-12-28,0.0,0.013554333235456904,0.0,0.0,0.0,0.0,0.0,0.0,0.027736052648277998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290053540409698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345062110826917,0.21505147133940739,0.11736961270571007,0.17672139525588001,0.036062973297300495
2013-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16283499287051198,0.0681590634888128,0.0,0.0,0.0,0.0,0.0,0.10332477481029184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016622279420130136,0.0,0.14152245858678253,0.1953214182742851,0.15430063428090743,0.12943715068173897,0.028477227586539217
2013-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015380299911463216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33938884884608705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14606220217274687,0.1883510101835001,0.12136673833349028,0.16583870974106982,0.02361219081164269
2013-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34979486314004254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14801748457795644,0.17937999231215426,0.10571369821628458,0.18859932743086325,0.028494634322698987
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014464724193459316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32985754568017134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12928198554181822,0.20120941098251713,0.11705036642509149,0.17667016167541016,0.031465805501532364
2014-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04280733247299879,0.0,0.01599247370021892,0.10018867943938554,0.03165422994665356,0.0,0.0,0.0,0.0,0.0,0.16455376197169905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13725635990035082,0.2070086900972201,0.13899330233765864,0.1315572046993227,0.02998796543449191
2014-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016457222353113258,0.0,0.031066570340430682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3245514217115236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14816192730292202,0.1729110264044198,0.07433958446908646,0.20245718761976741,0.03005505979873678
2014-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3521309206987284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1337182794756631,0.21655001177795494,0.10082227427409636,0.168534464222498,0.028244049551059195
2014-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03422204403246498,0.03210513361827661,0.0,0.0,0.0,0.0,0.0,0.29884984729989955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13389824248190177,0.1875803874707446,0.1595637460280774,0.12486875066454094,0.028911848404094224
