datetime,Dallas_broken clouds,Dallas_drizzle,Dallas_dust,Dallas_few clouds,Dallas_fog,Dallas_haze,Dallas_heavy intensity drizzle,Dallas_heavy intensity rain,Dallas_heavy snow,Dallas_light intensity drizzle,Dallas_light rain,Dallas_light snow,Dallas_mist,Dallas_moderate rain,Dallas_overcast clouds,Dallas_proximity shower rain,Dallas_proximity thunderstorm,Dallas_proximity thunderstorm with rain,Dallas_scattered clouds,Dallas_sky is clear,Dallas_smoke,Dallas_snow,Dallas_squalls,Dallas_thunderstorm,Dallas_thunderstorm with drizzle,Dallas_thunderstorm with heavy drizzle,Dallas_thunderstorm with heavy rain,Dallas_thunderstorm with light drizzle,Dallas_thunderstorm with light rain,Dallas_thunderstorm with rain,Dallas_tornado,Dallas_very heavy rain,Dallas_nan,humidity,wind_direction,temperature,pressure,wind_speed
2017-04-10,0.07606569092621555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01046703267782835,0.03580121033829844,0.0,0.012372968112685985,0.0,0.08703873899074475,0.0,0.0,0.0,0.03873373962355293,0.025759013674993936,0.0,0.0,0.0,0.014894369029030739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20563755758508484,0.15501130785934972,0.1957933156206697,0.11307260602596005,0.029352449535584937
2017-04-11,0.014548665765752191,0.0,0.0,0.0,0.0,0.0,0.010706690577694819,0.011471839894229757,0.0,0.0,0.0,0.0,0.1289964254147659,0.029000218603858707,0.06985348591146959,0.0,0.038602988530154994,0.0,0.0,0.0,0.0,0.0,0.0,0.01366895403607502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2294416234020171,0.11004457198195387,0.18503952619091268,0.1399274966256306,0.018697513065484835
2017-04-12,0.0537151647564191,0.0,0.0,0.0,0.11516772196305373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025023460764869932,0.0,0.10536595594155403,0.0,0.0,0.0,0.013706647876796636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2380718560450128,0.09906013295891201,0.1851783308134741,0.14742262099590595,0.017288107884001754
2017-04-13,0.06309829067337314,0.0,0.0,0.013017090185899903,0.0,0.0,0.0,0.0,0.0,0.0,0.07074346712900378,0.0,0.025259084225402562,0.0,0.025760667424366123,0.0,0.0,0.0,0.02544508327979457,0.07952179035251812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162084844323461,0.12357406701583074,0.18622381795853649,0.1491305081106877,0.022017649212240725
2017-04-14,0.18043642527541245,0.0,0.0,0.041455446555982954,0.0,0.0,0.0,0.0,0.0,0.0,0.026112093463517266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06663949872755219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18176700140874377,0.1367417741528292,0.19989742114086329,0.13610850270843017,0.030841836566668713
2017-04-15,0.11400971281401057,0.0,0.0,0.03924430290641776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038071367838874125,0.0,0.0,0.0,0.0896897561966686,0.026426344261669676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19156023940442427,0.14638410168352403,0.1953082786734431,0.12624264207577443,0.03306325414519342
2017-04-16,0.15436075896891024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03863734164511263,0.0,0.0,0.0,0.08787075465157905,0.0,0.0,0.0,0.025138035674335913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19885172970607687,0.14575335954684981,0.19751303267786358,0.12357690079913052,0.028298086330141383
2017-04-17,0.10208345206816512,0.012264227263559307,0.0,0.0,0.0,0.013566327771834684,0.0,0.026666806707118115,0.0,0.0,0.038378439510583735,0.0,0.025534351460213062,0.013383481519317092,0.0376335908475291,0.0,0.012435004424845486,0.0,0.0,0.013319494557211773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010868113114690317,0.0,0.0,0.0,0.2392461456083991,0.11977819131797068,0.18945839963279754,0.12476413660218057,0.020619837593584257
2017-04-18,0.0110056725049505,0.0,0.0,0.026803688052330705,0.04843551405322342,0.0,0.0,0.0,0.0,0.0,0.01104208043254562,0.0,0.09037178790943438,0.0,0.01351882481631461,0.0,0.0,0.0,0.07883131225502323,0.01348897904252871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013088540636824847,0.0,0.0,0.0,0.2321359832360036,0.13303479002246388,0.1837723567414203,0.12513624652201896,0.019334223774917156
2017-04-19,0.06339347284193635,0.0,0.0,0.05227870835015008,0.0,0.0,0.0,0.0,0.0,0.01223592772794258,0.0,0.0,0.11166665754695503,0.0,0.02691432951787641,0.0,0.0,0.0,0.02611304618209399,0.012855666273868964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21773468890942504,0.1298642064177058,0.192532657201131,0.12573203936416058,0.02867859966675414
