datetime,Saint Louis_broken clouds,Saint Louis_drizzle,Saint Louis_few clouds,Saint Louis_fog,Saint Louis_freezing rain,Saint Louis_haze,Saint Louis_heavy intensity drizzle,Saint Louis_heavy intensity rain,Saint Louis_heavy snow,Saint Louis_light intensity drizzle,Saint Louis_light intensity shower rain,Saint Louis_light rain,Saint Louis_light snow,Saint Louis_mist,Saint Louis_moderate rain,Saint Louis_overcast clouds,Saint Louis_proximity thunderstorm,Saint Louis_proximity thunderstorm with rain,Saint Louis_scattered clouds,Saint Louis_shower drizzle,Saint Louis_sky is clear,Saint Louis_sleet,Saint Louis_smoke,Saint Louis_snow,Saint Louis_squalls,Saint Louis_thunderstorm,Saint Louis_thunderstorm with heavy rain,Saint Louis_thunderstorm with light drizzle,Saint Louis_thunderstorm with light rain,Saint Louis_thunderstorm with rain,Saint Louis_very heavy rain,Saint Louis_nan,humidity,wind_direction,temperature,pressure,wind_speed
2013-04-15,0.0,0.0,0.03331887277624665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07993718478206924,0.0,0.2713945731873614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18599538508212496,0.12878563478354493,0.23966806089440662,0.10387228535015754,0.03452608026164077
2013-04-16,0.07908222662406848,0.0,0.05392691824516166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05280368020550316,0.0,0.0,0.0,0.09073465836766663,0.0,0.0,0.0,0.0,0.013213895002478751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012577620864170337,0.030080166385737166,0.0,0.0,0.22097864777197643,0.11965987471266142,0.2210127013615939,0.08488938058663244,0.048662560843846715
2013-04-17,0.024771148442255485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06389031844050444,0.0,0.0855562785794633,0.024717674387022086,0.037736103660409887,0.021508404421675533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010449600389040149,0.0,0.023606912218668934,0.0,0.0,0.0,0.2534285594620325,0.12841078442155102,0.15484041691859077,0.10915061990589779,0.06193317875288814
2013-04-18,0.0,0.0,0.03727687105120874,0.025501870556904588,0.0,0.0363504326423297,0.0,0.0,0.0,0.026141910214192165,0.0,0.04129802632202368,0.0,0.05353117613303467,0.0,0.06858904397013124,0.0,0.0,0.0,0.0,0.023994623368846706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2507461702868376,0.08268162878859639,0.18784236930578593,0.11830303418081521,0.04774284317929339
2013-04-19,0.012647706711539678,0.0,0.0,0.011624697913423654,0.0,0.0,0.0,0.01258932931333395,0.0,0.0,0.0,0.04621584976281571,0.0,0.011532689833597419,0.023902030093432242,0.02416507819134907,0.0,0.0,0.024696272754246476,0.0,0.08585878214539387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03676658352126685,0.0,0.0,0.0,0.21965212690306693,0.14178055271255763,0.20292144472012016,0.05732976897373687,0.08831708645011944
2013-04-20,0.10546404902642266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01184761618222944,0.0,0.023263309124019416,0.0,0.0,0.0,0.13556455769904444,0.0,0.0,0.0487770638647777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16677254371853764,0.23890677752696243,0.1524603053048599,0.09131810926615785,0.08816537218144012
2013-04-21,0.034536362080554515,0.0,0.0313896590974348,0.0,0.0,0.034825873093062516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282880345367677,0.0,0.25145896215805025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16955558086752173,0.17285862171501398,0.1762679444301896,0.16027458267275846,0.019586953257058035
2013-04-22,0.06101499273418635,0.0,0.0,0.0,0.0,0.015736185321773306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08340109239485173,0.0,0.0,0.045124439866836154,0.0,0.1639143204418904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14819671603638165,0.1140437732562229,0.19521382132256038,0.1926237041215416,0.042479586185581265
2013-04-23,0.014758392856088355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3149526948235059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16283608692133586,0.11246755792912783,0.19671199881979076,0.15037259325918859,0.04790067539096273
2013-04-24,0.040824467685452906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041514290185128734,0.0,0.0312979050194108,0.0,0.03816936754146145,0.011647282411902589,0.050576687788419304,0.01116795762955976,0.0,0.0410206205258461,0.0,0.05603919399698343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010568248241623284,0.0,0.0,0.0,0.23065158060195223,0.1295756727188251,0.20126337189456275,0.11257518334981871,0.026630250623872687
2013-04-25,0.03546174986125278,0.0,0.012175203797577742,0.0,0.0,0.0,0.0,0.010741374046084185,0.0,0.03222695544585741,0.0,0.032941912134871285,0.0,0.054590241135506444,0.01067497492290906,0.010928468044041089,0.010675607697402585,0.0,0.01099026369623956,0.0,0.044252960510934886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010753770589537318,0.0,0.0,0.19331778037103267,0.22707662652959257,0.13041850605610125,0.11162044456291426,0.06920806811360461
2013-04-26,0.0,0.0,0.023824467045156682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3093559894621839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1540460560434975,0.16761953732942417,0.1753144571342338,0.1630289461456992,0.026066303845241893
2013-04-27,0.012753979725457089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02449911540744675,0.0,0.0,0.0,0.08288874498587566,0.0,0.0,0.013149885877121811,0.0,0.191462295635122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18929261076300666,0.11821438962701465,0.18338043342814972,0.16553266904483216,0.03460025973622404
2013-04-28,0.0,0.012413375830378067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05307478950304146,0.0,0.05089317307520904,0.0,0.09044408510095703,0.0,0.11003668948854507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26312573067461253,0.09511170056948337,0.17294114205139052,0.14120275796453405,0.03268369996473323
2013-04-29,0.0,0.0,0.0,0.010914985568994525,0.0,0.0,0.0,0.0,0.0,0.04343233251695019,0.0,0.0,0.0,0.1267269727301842,0.014320926909811757,0.03373492515028242,0.0,0.0,0.047533515724210586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24393319128340982,0.1993313099069457,0.15666688656650826,0.0915880986808995,0.03181685496180308
2013-04-30,0.0,0.0,0.07928796784905867,0.06912550842525932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07014522405458462,0.0,0.0,0.0,0.0,0.02859402113328706,0.0,0.07714013461368839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2431806995300616,0.10649235118180071,0.19860789509230403,0.10037113165145058,0.02705506646850499
2013-05-01,0.03860620364883719,0.0,0.03797957489751713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09331568344873326,0.0,0.13850461901334343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1698345837669948,0.14712019442026558,0.22689813685756863,0.08611003126718657,0.06163097267955343
2013-05-02,0.08271898424790959,0.0,0.0,0.015001690413255941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015282553049694806,0.0,0.05462483770794241,0.0,0.0,0.013721690740294376,0.0,0.1461793828359273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17967217069943728,0.10961889303406479,0.23880422727906433,0.11556883235000426,0.028806737642404965
2013-05-03,0.04548227348074561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01071594284848072,0.0,0.01062658165000136,0.0,0.057303550932915594,0.01030337391430978,0.06350049849629681,0.0,0.0,0.03288131014722362,0.0,0.07244201129232974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21324340073051548,0.12755724451856063,0.20658555218702726,0.12141467126944977,0.027943588532143668
2013-05-04,0.0,0.011126048922224295,0.0,0.0,0.0,0.0,0.011257214155086308,0.022651659010741936,0.0,0.01154022959219133,0.0,0.0767558363777154,0.0,0.05562983065735108,0.06672454808642193,0.010582041486504679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23514042524090617,0.22794686801041034,0.12846490329094845,0.09646053198388355,0.0457198631856146
2013-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02383091164655161,0.0,0.040146585166242775,0.0,0.025301234539967358,0.0,0.06383517515428071,0.026073890076216164,0.12489676719219012,0.0,0.0,0.015933267071545573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27046004032148396,0.13085413970083185,0.15098418277236014,0.09952109055378143,0.028162715804548304
