datetime,Toronto_broken clouds,Toronto_drizzle,Toronto_few clouds,Toronto_fog,Toronto_freezing rain,Toronto_haze,Toronto_heavy intensity rain,Toronto_heavy intensity shower rain,Toronto_heavy shower snow,Toronto_heavy snow,Toronto_light intensity drizzle,Toronto_light intensity drizzle rain,Toronto_light intensity shower rain,Toronto_light rain,Toronto_light rain and snow,Toronto_light shower sleet,Toronto_light shower snow,Toronto_light snow,Toronto_mist,Toronto_moderate rain,Toronto_overcast clouds,Toronto_proximity shower rain,Toronto_proximity thunderstorm,Toronto_rain and snow,Toronto_scattered clouds,Toronto_shower rain,Toronto_shower snow,Toronto_sky is clear,Toronto_snow,Toronto_squalls,Toronto_thunderstorm,Toronto_thunderstorm with heavy rain,Toronto_thunderstorm with light rain,Toronto_thunderstorm with rain,Toronto_very heavy rain,Toronto_nan,humidity,wind_direction,temperature,pressure,wind_speed
2017-09-03,0.04077513818778064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009819629181408227,0.030913351345297213,0.0,0.0,0.0,0.0,0.05370401211388983,0.0,0.07877462143613927,0.0314582571510465,0.0,0.0,0.010915959032166465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19376060214308735,0.15443400487572356,0.18363011840889834,0.16443659168181166,0.04737771444275096
2017-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010609473457829073,0.0,0.0,0.0,0.041514953788014224,0.0,0.0,0.17530173283610032,0.0,0.0,0.010420514213271464,0.0,0.0,0.010603562697899116,0.0,0.0,0.18054737567060639,0.16070458861722495,0.18568939847877367,0.15244101714465588,0.07216738309562497
2017-09-05,0.011942267270097583,0.0,0.0,0.0,0.0,0.0,0.010099011506498008,0.0,0.0,0.0,0.0,0.0,0.03293094991217313,0.0,0.0,0.0,0.0,0.0,0.010374529158585775,0.010116746175363919,0.030240437572502592,0.0,0.0,0.0,0.0,0.0,0.0,0.138810677247592,0.0,0.0,0.0,0.0,0.009860288921486477,0.0,0.0,0.0,0.20243112065108992,0.16403314850438136,0.18156106224077095,0.1492763498850744,0.04832341095438381
2017-09-06,0.022795555834538617,0.0,0.03149347502102342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034687318091223225,0.0,0.0,0.0,0.0,0.03312878627881757,0.0,0.010528269523319122,0.0,0.0,0.0,0.010388155571614167,0.0,0.0,0.12426371378224656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2008725078663438,0.15098359104342626,0.18488385351398504,0.16919826419299286,0.02677650928046935
2017-09-07,0.04452229375316951,0.0,0.021594858624725922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03017433039531635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051788895969657384,0.04147233420663051,0.0,0.0,0.0,0.0,0.0,0.06304593575859652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17091472213373068,0.1916567945869431,0.1723182442907706,0.1606086899983775,0.051902900282081894
2017-09-08,0.07180551797872255,0.0,0.023087457060470867,0.0,0.0,0.009958076466435466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060885971477921345,0.0,0.0,0.0,0.020382760888071217,0.0,0.0,0.06302242493733631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1641534595873266,0.1999773730694908,0.16428130993756374,0.17088929398566308,0.05155635461099809
2017-09-09,0.0,0.0,0.024320955000001438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062644839119552,0.0,0.0,0.2079845301928348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1523802445610071,0.14505647889206072,0.1756505939893266,0.2111526499228925,0.04282809905068131
2017-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27606533631476055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14920181565479154,0.13752607046026868,0.18088157409747438,0.2203110886899747,0.03601411478273016
2017-09-11,0.0,0.0,0.0,0.0,0.0,0.011219203504295882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010625965529941434,0.0,0.0,0.0,0.0,0.0,0.012422426891241225,0.0,0.0,0.24060401260405864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15810539264445014,0.14873530080518074,0.18656123224573498,0.21171099357939474,0.020015472195702187
2017-09-12,0.0,0.0,0.0,0.009825715610129975,0.0,0.01186248639261746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024311678243977935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21961994366831597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1931448457740321,0.14739200672584168,0.18715386206178533,0.18465497155246113,0.022034489970838372
