datetime,Phoenix_broken clouds,Phoenix_drizzle,Phoenix_dust,Phoenix_few clouds,Phoenix_fog,Phoenix_haze,Phoenix_heavy intensity rain,Phoenix_heavy snow,Phoenix_light intensity drizzle,Phoenix_light intensity shower rain,Phoenix_light rain,Phoenix_mist,Phoenix_moderate rain,Phoenix_overcast clouds,Phoenix_proximity sand/dust whirls,Phoenix_proximity shower rain,Phoenix_proximity thunderstorm,Phoenix_scattered clouds,Phoenix_shower rain,Phoenix_sky is clear,Phoenix_smoke,Phoenix_thunderstorm,Phoenix_thunderstorm with heavy rain,Phoenix_thunderstorm with light rain,Phoenix_thunderstorm with rain,Phoenix_very heavy rain,Phoenix_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-24,0.08369740137230254,0.0,0.0,0.12865800081737627,0.0,0.016171808185106072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12518005013563316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15724079421264683,0.061683409973589814,0.18561216752108797,0.23563897797594288,0.006117389806314456
2012-10-25,0.052831302915270655,0.0,0.0,0.04501965069819006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03261436283950867,0.0,0.23273352029664604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12200676367335209,0.0929440534111922,0.1888032295439879,0.23771699268970128,0.010318613780611663
2012-10-26,0.0,0.0,0.0,0.09555035988627697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27863640525636685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08332863483000703,0.10717991637672082,0.18077602491139455,0.25547272342897503,0.009472014664009603
2012-10-27,0.0,0.0,0.0,0.01258269433007178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32793196404216807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03304247031877409,0.19473284028177865,0.17674900531329318,0.23360830058582918,0.021352725128085028
2012-10-28,0.0,0.0,0.0,0.13980750966943045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546058567048462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04245045555653712,0.08482797730316305,0.202346356855304,0.26737312713839934,0.008588716772319796
2012-10-29,0.0,0.0,0.0,0.1380054827131276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2707259066750433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07549880404275092,0.029089359793823658,0.21313224583371704,0.2776506739875629,0.0021890939575371442
2012-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4084495377324708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07531032992237101,0.040983397545655394,0.21484948006781643,0.2806828036771387,0.003971289528156985
2012-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3969908895032794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0977989616720341,0.04586808830117744,0.20502614236088415,0.2747755507668271,0.003990107813806429
2012-11-01,0.04558601914263823,0.0,0.0,0.054838567834685,0.0,0.017241683236618097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03359617234586547,0.0,0.2482993309021829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08136129225775189,0.06942648958930513,0.20237425313491864,0.27352419499836494,0.004262481154326687
2012-11-02,0.0,0.0,0.0,0.0,0.0,0.012277831282327546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20375813488803604,0.0,0.18930471796249068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0853736018203118,0.05292134493687365,0.20575991671033242,0.273540777045302,0.0026901413679320807
