datetime,New York_broken clouds,New York_drizzle,New York_dust,New York_few clouds,New York_fog,New York_freezing rain,New York_haze,New York_heavy intensity drizzle,New York_heavy intensity rain,New York_heavy snow,New York_heavy thunderstorm,New York_light intensity drizzle,New York_light intensity shower rain,New York_light rain,New York_light rain and snow,New York_light snow,New York_mist,New York_moderate rain,New York_overcast clouds,New York_proximity thunderstorm,New York_proximity thunderstorm with drizzle,New York_proximity thunderstorm with rain,New York_sand,New York_sand/dust whirls,New York_scattered clouds,New York_shower rain,New York_sky is clear,New York_smoke,New York_snow,New York_squalls,New York_thunderstorm,New York_thunderstorm with heavy rain,New York_thunderstorm with light drizzle,New York_thunderstorm with light rain,New York_thunderstorm with rain,New York_very heavy rain,New York_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-21,0.0,0.0,0.0,0.03773479396430325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08123686627376976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059145384880589714,0.0,0.11136129244255209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24328612293022286,0.10074695346687701,0.18766482228928708,0.1460558561634964,0.032767907588901794
2012-10-22,0.0,0.0,0.0,0.03384694643556086,0.0,0.0,0.0,0.0,0.0,0.06929761291456522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011684607520330905,0.0,0.0,0.0,0.0,0.0,0.0,0.07998200633681796,0.0,0.08999056313240734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13347428017468113,0.22485435156016934,0.17106109955442964,0.15746537623921245,0.05258812749964956
2012-10-23,0.0,0.0,0.0,0.05540904583352707,0.0,0.0,0.0,0.0,0.0,0.06798834742024189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15748067596101933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12041238650830906,0.22782224948701935,0.17195130822835272,0.16960776676255138,0.053496565904884275
2012-10-24,0.06581366922031054,0.0,0.0,0.023628204985428194,0.0,0.0,0.0,0.0,0.0,0.035724792430317585,0.0,0.0,0.0,0.028304109551763795,0.0,0.0,0.026360996842098344,0.0,0.038659096162512015,0.0,0.0,0.0,0.0,0.0,0.027129585301051723,0.0,0.06369403710048187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17515525991194233,0.13098989759826674,0.18531966241260447,0.19571354369411703,0.018960011606024448
2012-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02509202134881226,0.0,0.03738606883751052,0.0,0.0,0.1960601266339678,0.0,0.03779781572312685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2503608152695515,0.039057411893229914,0.1816638010602939,0.19396976711516203,0.03861217211834519
2012-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.035966072162606166,0.0,0.0,0.0,0.0,0.0,0.0,0.01250555235654284,0.0,0.0,0.11270314957634668,0.0,0.11065596394230981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03736070135347797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2193469894430053,0.07880402514027014,0.19239204880901692,0.20583607202415585,0.029861346981198397
2012-10-27,0.01282702471847069,0.0,0.0,0.011895667901356542,0.0,0.0,0.012391932821308843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03797151374241147,0.0,0.22445385706266519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211970522249856,0.07218682997216318,0.19292983290851975,0.20518074333237293,0.018192075290875385
2012-10-28,0.013001352640685965,0.0,0.0,0.0,0.0,0.0,0.012487009701988587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06219298304495524,0.0,0.21015795221459055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2167108313304936,0.0656834963639488,0.19591066390529663,0.18600401382726436,0.03785169697077626
2012-10-29,0.07631304104028742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04982902150767574,0.0,0.0,0.0,0.0,0.0,0.0,0.17698750115762982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083735695362853,0.03997403569418051,0.18706481321224197,0.16924360234161726,0.09221441551008204
2012-10-30,0.012656190687172072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012511249486780092,0.0,0.0,0.0,0.0,0.038826169559326,0.0,0.0,0.07275626164913761,0.04963358844112873,0.1160288686760841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23246936540815635,0.030685847203713524,0.18285765233275553,0.10370764206193299,0.147867164493813
