datetime,Las Vegas_broken clouds,Las Vegas_drizzle,Las Vegas_dust,Las Vegas_few clouds,Las Vegas_fog,Las Vegas_haze,Las Vegas_heavy intensity drizzle,Las Vegas_heavy intensity rain,Las Vegas_light intensity drizzle,Las Vegas_light intensity shower rain,Las Vegas_light rain,Las Vegas_light snow,Las Vegas_mist,Las Vegas_moderate rain,Las Vegas_overcast clouds,Las Vegas_proximity thunderstorm,Las Vegas_scattered clouds,Las Vegas_sky is clear,Las Vegas_squalls,Las Vegas_thunderstorm,Las Vegas_thunderstorm with heavy rain,Las Vegas_thunderstorm with light rain,Las Vegas_thunderstorm with rain,Las Vegas_nan,humidity,wind_direction,temperature,pressure,wind_speed
2015-10-07,0.01053961666260741,0.0,0.0,0.012810462784914843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269584897743338,0.0,0.0,0.0,0.0,0.0,0.0,0.15045314438347146,0.12345165110402943,0.16782557587251043,0.2358225883946177,0.029512063054510762
2015-10-08,0.0,0.0,0.0,0.0,0.0,0.014397814222592684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2675584251360718,0.0,0.0,0.0,0.0,0.0,0.0,0.09562902383943045,0.1746108822057274,0.18064015597538208,0.22611919314905024,0.041044505471745305
2015-10-09,0.0,0.0,0.0,0.013998606720613172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014006488932190655,0.27421895212262504,0.0,0.0,0.0,0.0,0.0,0.0,0.0740660535116016,0.14048393968431672,0.2008635106575453,0.24451284089476985,0.03784960747633767
2015-10-10,0.0,0.0,0.0,0.0123487277607936,0.0,0.025308300412885575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2644251518325639,0.0,0.0,0.0,0.0,0.0,0.0,0.08844079703043141,0.12701874375911223,0.20245138335625726,0.24326433661767058,0.03674255923028543
2015-10-11,0.0,0.0,0.0,0.0,0.0,0.024762218250468093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27614828205466946,0.0,0.0,0.0,0.0,0.0,0.0,0.10109526068988224,0.13066719484480346,0.2023143673857778,0.2390190085064393,0.025993668267959597
2015-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31385788911746865,0.0,0.0,0.0,0.0,0.0,0.0,0.1076340311291649,0.09075406701146116,0.21180334274582632,0.24847014914669704,0.027480520849381934
2015-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3145479461476933,0.0,0.0,0.0,0.0,0.0,0.0,0.09692946472313663,0.09895818832009277,0.21374955992646819,0.2520071434627474,0.023807697419861662
2015-10-14,0.0,0.0,0.0,0.0,0.0,0.014264068803375036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2904892662262505,0.0,0.0,0.0,0.0,0.0,0.0,0.10970328212655032,0.11460643240493697,0.20090436218854654,0.24787432377324903,0.02215826447709161
2015-10-15,0.0,0.0,0.0,0.010506660875438929,0.0,0.0,0.0,0.0,0.0,0.0,0.021996820878564322,0.0,0.0,0.0,0.0,0.0,0.0,0.2674321278736423,0.0,0.0,0.0,0.0,0.0,0.0,0.0908518177342803,0.13120251160716948,0.2018660490414328,0.234166960927036,0.04197705106243583
2015-10-16,0.023405211574645396,0.0,0.0,0.05437092819300759,0.0,0.0,0.0,0.0,0.013377290705924692,0.0,0.10337691499327956,0.0,0.0,0.0,0.012054613163819982,0.0,0.034406066405061796,0.0334367409248466,0.0,0.0,0.0,0.0,0.0,0.0,0.110626531958879,0.18842630826808002,0.1726556021676945,0.21759550628466784,0.03626828536009303
