datetime,Montreal_broken clouds,Montreal_drizzle,Montreal_dust,Montreal_few clouds,Montreal_fog,Montreal_freezing rain,Montreal_haze,Montreal_heavy intensity rain,Montreal_heavy intensity shower rain,Montreal_heavy shower snow,Montreal_heavy snow,Montreal_light intensity drizzle,Montreal_light intensity drizzle rain,Montreal_light intensity shower rain,Montreal_light rain,Montreal_light rain and snow,Montreal_light shower sleet,Montreal_light shower snow,Montreal_light snow,Montreal_mist,Montreal_moderate rain,Montreal_overcast clouds,Montreal_proximity shower rain,Montreal_proximity thunderstorm,Montreal_sand,Montreal_scattered clouds,Montreal_shower drizzle,Montreal_shower rain,Montreal_shower snow,Montreal_sky is clear,Montreal_smoke,Montreal_snow,Montreal_thunderstorm,Montreal_thunderstorm with heavy rain,Montreal_thunderstorm with light rain,Montreal_thunderstorm with rain,Montreal_very heavy rain,Montreal_nan,humidity,wind_direction,temperature,pressure,wind_speed
2017-05-24,0.1435955030783249,0.0,0.0,0.044161579431789805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0606007576212528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032708399325617386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17628042171137645,0.09410707828630953,0.20376575185862564,0.22511051237473692,0.01966999631196657
2017-05-25,0.061359421232812496,0.0,0.0,0.048931815465648065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03369714322931856,0.0,0.0,0.0,0.0,0.0,0.0,0.10646119068517172,0.0,0.0,0.0,0.03774293414806965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17211026303864485,0.04335410498543516,0.2061166649096733,0.2317354484281092,0.058491013877117005
2017-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11238166560002395,0.0,0.0,0.0,0.0,0.06630523404099542,0.0,0.0824010649221132,0.011605319903964928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23083886308445514,0.034038136113460106,0.1799631919659412,0.2143287915974288,0.06813773277161723
2017-05-27,0.09393542938475598,0.0,0.0,0.022424480568637526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009872055076567174,0.0,0.07254001162018373,0.0,0.0,0.0,0.05381340529889955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17915466461751772,0.15588276677298193,0.17691963717161877,0.20535104227644704,0.030106507212390582
2017-05-28,0.11039006299654079,0.0,0.0,0.07424267061598729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06802812150543906,0.0,0.0,0.0,0.010984077741242401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15485153928588632,0.14052417650862423,0.1972008231085115,0.2152734589505152,0.028505069287253226
2017-05-29,0.05777897771215152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06237139580203807,0.0,0.0,0.0,0.0,0.02007943874046258,0.0,0.05569742197546012,0.0,0.0,0.0,0.06898584490950287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17529132172381914,0.09392307990100444,0.19067823670184483,0.21562980234885468,0.05956448018486172
2017-05-30,0.0954779712807029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040842507008504746,0.04161977659274733,0.0,0.0,0.0,0.0,0.0,0.010196963804990416,0.04173876546789356,0.0,0.0,0.0,0.010721830731335284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010277668091535302,0.0,0.0,0.0,0.21517977334050578,0.10232438499288064,0.1704873721130178,0.20815698252597378,0.05297600404991245
2017-05-31,0.07407660972490736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04291530217173819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02118369297177503,0.06228473957228075,0.0,0.0,0.0316090011793884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02092913527759371,0.0,0.0,0.0,0.18994646807616744,0.1264147192667931,0.18246849746874974,0.20741481970415557,0.040757014586450716
2017-06-01,0.1355752668319822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02083276382692621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05225265431580265,0.0212165575419317,0.0,0.0,0.02189543676798102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14753439585312295,0.1665626253167295,0.17586456849866036,0.2029395350832951,0.05532619596356827
2017-06-02,0.06249065041671415,0.0,0.0,0.01075491285201016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05059448229262725,0.0,0.0,0.0,0.0,0.0,0.0,0.04110031177985439,0.030690325179474745,0.0,0.0,0.05241796192986723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16381642558885007,0.17978415440032317,0.1588507155558642,0.20238112331146618,0.04711893669294843
